,MSE,R2 Score
Linear Regression,14.257338168909369,0.8055829447972178
Decision Tree,7.982058823529411,0.8911544109748305
Random Forest,10.805931529411763,0.8526472920974534
Gradient Boosting,9.436168915125172,0.8713257586275654
